id,nombre,latitud,longitud
4267X,HINOJOSA DEL DUQUE,382955,-50716
4090Y,SAN CLEMENTE,392500,-22514
4560Y,ALAJAR,375207,-64030
4549Y,AYAMONTE,371141,-72342
4642E,"HUELVA, RONDA ESTE",371642,-65442
4605,HUELVA,371524,-65659
4067,MADRIDEJOS,392931,-33142
4061X,QUINTANAR DE LA ORDEN,393550,-30254
5973,CÁDIZ,362959,-61528
5911A,GRAZALEMA,364538,-52227
5960,JEREZ DE LA FRONTERA AEROPUERTO,364502,-60321
5910,"ROTA, BASE NAVAL",363820,-61957
5972X,SAN FERNANDO,362756,-61220
5995B,VEJER DE LA FRONTERA,361444,-55754
5000A,"CEUTA, MONTE HACHO",355344,-51732
5000C,CEUTA,355319,-52049
5402,CÓRDOBA AEROPUERTO,375056,-45048
5427X,DOÑA MENCÍA,373322,-42114
5390Y,VILLANUEVA DE CÓRDOBA,381959,-43632
5047E,BAZA,373021,-24406
5530E,GRANADA AEROPUERTO,371125,-34723
5514,GRANADA BASE AÉREA,370814,-33753
5051X,HUÉSCAR,375140,-23910
5582A,LOJA,370940,-40910
5860E,"MOGUER, EL ARENOSILLO",370553,-64417
5298X,ANDÚJAR,380123,-40348
5181D,ARROYO DEL OJANCO,381853,-25323
5038X,CAZORLA,375457,-30014
5270,"JAÉN, INSTITUTO",374635,-34720
5270B,JAÉN,374639,-34833
5246,SANTA ELENA,382040,-33207
5192,VILLARRODRIGO,382921,-23815
5704B,CAZALLA DE LA SIERRA,375535,-54611
5641X,ÉCIJA,373058,-50506
5612B,LA RODA DE ANDALUCÍA,371140,-44612
5796,MORÓN DE LA FRONTERA,370952,-53641
5783,SEVILLA AEROPUERTO,372500,-55245
6302A,ABLA,370829,-24648
6277B,ADRA,364450,-30114
6381,ALBORÁN,355618,-30210
6325O,ALMERÍA AEROPUERTO,365047,-22125
6297,ALMERÍA,364952,-22720
6332X,CARBONERAS,365849,-15413
6367B,HUÉRCAL-OVERA,372326,-15637
6293X,ROQUETAS DE MAR,364113,-24206
6001,TARIFA,360050,-53556
6268X,MOTRIL,364322,-33149
6106X,ANTEQUERA,370146,-44454
6058I,ESTEPONA,362501,-50918
6084X,FUENGIROLA,363219,-43706
6155A,MÁLAGA AEROPUERTO,363958,-42856
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",364304,-42854
6172O,"MÁLAGA, PUERTO",364300,-42511
6032B,RONDA,364459,-51006
6205X,TORROX,364335,-35726
6000A,MELILLA,351635,-25723
7096B,HELLÍN,383231,-14211
7247X,EL PINÓS/PINOSO,382359,-10217
7002Y,ÁGUILAS,372502,-13513
7228,"ALCANTARILLA, BASE AÉREA",375728,-11343
7119B,CARAVACA DE LA CRUZ,380609,-15238
7012C,CARTAGENA,373604,-5916
7145D,CIEZA,381358,-12250
7209,LORCA,373917,-14114
7178I,MURCIA,380007,-11015
7031,SAN JAVIER AEROPUERTO,374720,-4812
7031X,SAN JAVIER AEROPUERTO,374642,-4821
7275C,YECLA,383606,-10935
8175,ALBACETE BASE AÉREA,385715,-15123
8178D,ALBACETE,390021,-15146
8177A,CHINCHILLA,385609,-13936
8025,ALACANT/ALICANTE,382221,-2939
8019,ALICANTE-ELCHE AEROPUERTO,381658,-3415
8050X,JÁVEA/ XÀBIA,384701,1004
8500A,CASTELLÓ - ALMASSORA,395726,-419
8501,CASTELLÓ DE LA PLANA,395921,-156
8489X,VILLAFRANCA DEL CID/VILLAFRANCA,402600,-1521
8523X,VINARÒS,403315,2547
8096,CUENCA,400402,-20755
8368U,TERUEL,402102,-10727
8058X,OLIVA,385544,-545
8325X,POLINYÀ DE XÚQUER,391105,-2219
8309X,UTIEL,393432,-11441
8414A,VALENCIA AEROPUERTO,392906,-2829
8416Y,"VALÈNCIA, VIVEROS",392850,-2159
8416,VALÈNCIA,392850,-2159
8293X,XÀTIVA,390006,-3125
9091O,FORONDA-TXOKIZA,425255,-24406
9087,VITORIA AERÓDROMO,425059,-23922
9091R,VITORIA-GASTEIZ AEROPUERTO,425219,-24358
9111,BELORADO,422516,-31013
9051,MEDINA DE POMAR,425512,-32858
9001D,REINOSA,425931,-40938
9019B,"VALDERREDIBLE, POLIENTES   ",424823,-35602
9563X,CASTELLFORT,402955,-1112
9585,LA MOLINA,421957,15622
9208E,ARAGÜÉS DEL PUERTO,424231,-4022
9784P,BIELSA,423748,1329
9898,"HUESCA, AEROPUERTO",420504,-1932
9201K,JACA,423444,-3249
9814A,TORLA,423736,-642
9170,"LOGROÑO, AEROPUERTO",422708,-21952
9619,LA SEU D'URGELL,422117,12747
9771,"LLEIDA, OBSERVATORIO",413702,3716
9771C,LLEIDA,413734,3553
9990X,"NAUT ARAN, ARTIES ",424201,5237
9698U,TALARN,421219,5155
9720X,TÀRREGA,413902,10858
9263X,"ARANGUREN, ILUNDAIN  ",424634,-13157
9294E,"BARDENAS REALES, BASE AÉREA",421155,-12831
9283X,CADREITA,421225,-14241
9263D,"PAMPLONA, AEROPUERTO",424637,-13900
9262,PAMPLONA,424904,-13818
9981A,ESTACIÓN DE TORTOSA (ROQUETES),404913,2936
9987P,SANT JAUME D'ENVEJA,404157,4836
9573X,ALCAÑIZ,410329,-830
9381,"CALAMOCHA, AERÓDROMO",405154,-11818
9381I,CALAMOCHA,405534,-11736
9569A,CALANDA,405648,-1416
9576C,BUJARALOZ,413121,-1028
9394X,CALATAYUD,411952,-13843
9390,DAROCA,410652,-12436
9244X,SOS DEL REY CATÓLICO,422927,-11249
9434,"ZARAGOZA, AEROPUERTO",413938,-10015
9434P,"ZARAGOZA, VALDESPARTERA",413716,-5605
B569X,CAPDEPERA,394300,32841
B013X,"ESCORCA, LLUC",394924,25309
B954,"IBIZA, AEROPUERTO",385235,12304
B893,"MENORCA, AEROPUERTO",395117,41256
B278,"PALMA DE MALLORCA, AEROPUERTO",393339,24412
B228,"PALMA, PUERTO",393319,23731
B346X,PORRERES,393118,30109
B434X,PORTOCOLOM  ,392452,31618
B691Y,SA POBLA,394457,30100
B248,"SIERRA DE ALFABIA, BUNYOLA",394406,24247
C249I,FUERTEVENTURA AEROPUERTO,282641,-135147
C649I,GRAN CANARIA AEROPUERTO,275504,-152343
C619I,LA ALDEA DE SAN NICOLÁS,280003,-154850
C029O,LANZAROTE AEROPUERTO,285707,-133601
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",280647,-152517
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",280523,-152458
C689E,MASPALOMAS,274409,-153545
C629X,"MOGÁN, PUERTO",274859,-154551
C229J,PÁJARA,280257,-142129
